timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1606252190083,1011,userSettings-save,200,,Thread Group 1-1,text,true,,1002,1513,25,25,http://api.albert.health/userSettings/save,1007,0,60
1606252190083,1011,userSettings-save,200,,Thread Group 1-2,text,true,,1002,1513,25,25,http://api.albert.health/userSettings/save,1007,0,60
1606252190083,1029,userSettings-save,200,,Thread Group 1-3,text,true,,1002,1513,25,25,http://api.albert.health/userSettings/save,1029,0,60
1606252190083,1090,userSettings-save,200,,Thread Group 1-4,text,true,,1002,1513,26,26,http://api.albert.health/userSettings/save,1089,0,60
1606252190095,1082,userSettings-save,200,,Thread Group 1-5,text,true,,1002,1513,26,26,http://api.albert.health/userSettings/save,1082,0,48
1606252190144,1035,userSettings-save,200,,Thread Group 1-6,text,true,,1002,1513,26,26,http://api.albert.health/userSettings/save,1035,0,25
1606252190195,994,userSettings-save,200,,Thread Group 1-7,text,true,,1002,1513,26,26,http://api.albert.health/userSettings/save,994,0,22
1606252191099,117,profile-loadConnectedProfiles,200,,Thread Group 1-1,text,true,,1663,1117,27,27,http://api.albert.health/profile/loadConnectedProfiles,117,0,0
1606252191099,134,profile-loadConnectedProfiles,200,,Thread Group 1-2,text,true,,1663,1117,27,27,http://api.albert.health/profile/loadConnectedProfiles,133,0,0
1606252191112,121,profile-loadConnectedProfiles,200,,Thread Group 1-3,text,true,,1663,1117,27,27,http://api.albert.health/profile/loadConnectedProfiles,121,0,0
1606252191180,101,profile-loadConnectedProfiles,200,,Thread Group 1-6,text,true,,1663,1117,28,28,http://api.albert.health/profile/loadConnectedProfiles,100,0,0
1606252191190,145,profile-loadConnectedProfiles,200,,Thread Group 1-7,text,true,,1663,1117,29,29,http://api.albert.health/profile/loadConnectedProfiles,144,0,0
1606252190244,1240,userSettings-save,200,,Thread Group 1-8,text,true,,1002,1513,32,32,http://api.albert.health/userSettings/save,1240,0,22
1606252191174,350,profile-loadConnectedProfiles,200,,Thread Group 1-4,text,true,,1663,1117,33,33,http://api.albert.health/profile/loadConnectedProfiles,350,0,0
1606252190345,1242,userSettings-save,200,,Thread Group 1-10,text,true,,1002,1513,34,34,http://api.albert.health/userSettings/save,1242,0,20
1606252191178,415,profile-loadConnectedProfiles,200,,Thread Group 1-5,text,true,,1663,1117,35,35,http://api.albert.health/profile/loadConnectedProfiles,415,0,0
1606252191216,460,user-loadUser,200,,Thread Group 1-1,text,true,,2517,1101,36,36,http://api.albert.health/user/loadUser,460,0,0
1606252190294,1385,userSettings-save,200,,Thread Group 1-9,text,true,,1002,1513,36,36,http://api.albert.health/userSettings/save,1385,0,22
1606252190395,1330,userSettings-save,200,,Thread Group 1-11,text,true,,1002,1513,37,37,http://api.albert.health/userSettings/save,1330,0,21
1606252190443,1303,userSettings-save,200,,Thread Group 1-12,text,true,,1002,1513,38,38,http://api.albert.health/userSettings/save,1303,0,20
1606252191233,686,user-loadUser,200,,Thread Group 1-2,text,true,,2517,1101,41,41,http://api.albert.health/user/loadUser,685,0,0
1606252191234,765,user-loadUser,200,,Thread Group 1-3,text,true,,2517,1101,43,43,http://api.albert.health/user/loadUser,765,0,0
1606252190743,1260,userSettings-save,200,,Thread Group 1-18,text,true,,1002,1513,43,43,http://api.albert.health/userSettings/save,1259,0,21
1606252191335,713,user-loadUser,200,,Thread Group 1-7,text,true,,2517,1101,44,44,http://api.albert.health/user/loadUser,713,0,0
1606252190494,1579,userSettings-save,200,,Thread Group 1-13,text,true,,1002,1513,44,44,http://api.albert.health/userSettings/save,1579,0,21
1606252191282,803,user-loadUser,200,,Thread Group 1-6,text,true,,2517,1101,44,44,http://api.albert.health/user/loadUser,803,0,0
1606252191485,616,profile-loadConnectedProfiles,200,,Thread Group 1-8,text,true,,1663,1117,45,45,http://api.albert.health/profile/loadConnectedProfiles,616,0,0
1606252191588,574,profile-loadConnectedProfiles,200,,Thread Group 1-10,text,true,,1663,1117,46,46,http://api.albert.health/profile/loadConnectedProfiles,573,0,0
1606252190544,1629,userSettings-save,200,,Thread Group 1-14,text,true,,1002,1513,46,46,http://api.albert.health/userSettings/save,1629,0,20
1606252191677,509,doctorInformation-getAll,200,,Thread Group 1-1,text,true,,25415,1112,46,46,http://api.albert.health/doctorInformation/getAll,487,0,0
1606252190594,1663,userSettings-save,200,,Thread Group 1-15,text,true,,1002,1513,48,48,http://api.albert.health/userSettings/save,1663,0,21
1606252191747,603,profile-loadConnectedProfiles,200,,Thread Group 1-12,text,true,,1663,1117,50,50,http://api.albert.health/profile/loadConnectedProfiles,603,0,0
1606252190643,1718,userSettings-save,200,,Thread Group 1-16,text,true,,1002,1513,50,50,http://api.albert.health/userSettings/save,1718,0,22
1606252190994,1375,userSettings-save,200,,Thread Group 1-23,text,true,,1002,1513,50,50,http://api.albert.health/userSettings/save,1375,0,20
1606252190695,1699,userSettings-save,200,,Thread Group 1-17,text,true,,1002,1513,51,51,http://api.albert.health/userSettings/save,1699,0,22
1606252191045,1416,userSettings-save,200,,Thread Group 1-24,text,true,,1002,1513,52,52,http://api.albert.health/userSettings/save,1416,0,20
1606252191144,1322,userSettings-save,200,,Thread Group 1-26,text,true,,1002,1513,52,52,http://api.albert.health/userSettings/save,1322,0,22
1606252190793,1697,userSettings-save,200,,Thread Group 1-19,text,true,,1002,1513,52,52,http://api.albert.health/userSettings/save,1697,0,21
1606252191525,971,user-loadUser,200,,Thread Group 1-4,text,true,,2517,1101,53,53,http://api.albert.health/user/loadUser,971,0,0
1606252192048,467,doctorInformation-getAll,200,,Thread Group 1-7,text,true,,25423,1112,53,53,http://api.albert.health/doctorInformation/getAll,445,0,0
1606252190845,1678,userSettings-save,200,,Thread Group 1-20,text,true,,1002,1513,53,53,http://api.albert.health/userSettings/save,1678,0,20
1606252192003,525,profile-loadConnectedProfiles,200,,Thread Group 1-18,text,true,,1663,1117,53,53,http://api.albert.health/profile/loadConnectedProfiles,525,0,0
1606252192074,469,profile-loadConnectedProfiles,200,,Thread Group 1-13,text,true,,1663,1117,54,54,http://api.albert.health/profile/loadConnectedProfiles,469,0,0
1606252192174,424,profile-loadConnectedProfiles,200,,Thread Group 1-14,text,true,,1663,1117,55,55,http://api.albert.health/profile/loadConnectedProfiles,423,0,0
1606252190945,1779,userSettings-save,200,,Thread Group 1-22,text,true,,1002,1513,57,57,http://api.albert.health/userSettings/save,1779,0,23
1606252190892,1889,userSettings-save,200,,Thread Group 1-21,text,true,,1002,1513,58,58,http://api.albert.health/userSettings/save,1889,0,21
1606252192258,588,profile-loadConnectedProfiles,200,,Thread Group 1-15,text,true,,1663,1117,60,60,http://api.albert.health/profile/loadConnectedProfiles,588,0,0
1606252192162,704,user-loadUser,200,,Thread Group 1-10,text,true,,2517,1101,60,60,http://api.albert.health/user/loadUser,704,0,0
1606252191193,1703,userSettings-save,200,,Thread Group 1-27,text,true,,1002,1513,61,61,http://api.albert.health/userSettings/save,1703,0,21
1606252192102,798,user-loadUser,200,,Thread Group 1-8,text,true,,2517,1101,61,61,http://api.albert.health/user/loadUser,798,0,0
1606252191093,1817,userSettings-save,200,,Thread Group 1-25,text,true,,1002,1513,61,61,http://api.albert.health/userSettings/save,1817,0,20
1606252191594,1319,user-loadUser,200,,Thread Group 1-5,text,true,,2517,1101,61,61,http://api.albert.health/user/loadUser,1319,0,0
1606252191679,1273,profile-loadConnectedProfiles,200,,Thread Group 1-9,text,true,,1663,1117,62,62,http://api.albert.health/profile/loadConnectedProfiles,1273,0,0
1606252192395,559,profile-loadConnectedProfiles,200,,Thread Group 1-17,text,true,,1663,1117,62,62,http://api.albert.health/profile/loadConnectedProfiles,559,0,0
1606252191726,1238,profile-loadConnectedProfiles,200,,Thread Group 1-11,text,true,,1663,1117,62,62,http://api.albert.health/profile/loadConnectedProfiles,1238,0,0
1606252191920,1067,doctorInformation-getAll,200,,Thread Group 1-2,text,true,,25423,1112,62,62,http://api.albert.health/doctorInformation/getAll,1045,0,0
1606252191999,997,doctorInformation-getAll,200,,Thread Group 1-3,text,true,,25415,1112,63,63,http://api.albert.health/doctorInformation/getAll,974,0,0
1606252192462,538,profile-loadConnectedProfiles,200,,Thread Group 1-24,text,true,,1663,1117,63,63,http://api.albert.health/profile/loadConnectedProfiles,538,0,0
1606252191244,1782,userSettings-save,200,,Thread Group 1-28,text,true,,1002,1513,63,63,http://api.albert.health/userSettings/save,1782,0,20
1606252192466,593,profile-loadConnectedProfiles,200,,Thread Group 1-26,text,true,,1663,1117,64,64,http://api.albert.health/profile/loadConnectedProfiles,593,0,0
1606252192497,586,doctorInformation-getAll,200,,Thread Group 1-4,text,true,,25423,1112,64,64,http://api.albert.health/doctorInformation/getAll,564,0,0
1606252192351,875,user-loadUser,200,,Thread Group 1-12,text,true,,2517,1101,67,67,http://api.albert.health/user/loadUser,875,0,0
1606252191294,2012,userSettings-save,200,,Thread Group 1-29,text,true,,1002,1513,69,69,http://api.albert.health/userSettings/save,2011,0,25
1606252192086,1244,doctorInformation-getAll,200,,Thread Group 1-6,text,true,,25423,1112,69,69,http://api.albert.health/doctorInformation/getAll,1221,0,0
1606252191344,2007,userSettings-save,200,,Thread Group 1-30,text,true,,1002,1513,70,70,http://api.albert.health/userSettings/save,2007,0,21
1606252191393,1964,userSettings-save,200,,Thread Group 1-31,text,true,,1002,1513,70,70,http://api.albert.health/userSettings/save,1964,0,20
1606252191594,1832,userSettings-save,200,,Thread Group 1-35,text,true,,1002,1513,71,71,http://api.albert.health/userSettings/save,1832,0,20
1606252192528,1040,user-loadUser,200,,Thread Group 1-18,text,true,,2517,1101,74,74,http://api.albert.health/user/loadUser,1040,0,0
1606252191693,1994,userSettings-save,200,,Thread Group 1-37,text,true,,1002,1513,76,76,http://api.albert.health/userSettings/save,1994,0,20
1606252191443,2245,userSettings-save,200,,Thread Group 1-32,text,true,,1002,1513,76,76,http://api.albert.health/userSettings/save,2245,0,20
1606252191894,1809,userSettings-save,200,,Thread Group 1-41,text,true,,1002,1513,77,77,http://api.albert.health/userSettings/save,1809,0,21
1606252191494,2300,userSettings-save,200,,Thread Group 1-33,text,true,,1002,1513,79,79,http://api.albert.health/userSettings/save,2300,0,21
1606252191793,2002,userSettings-save,200,,Thread Group 1-39,text,true,,1002,1513,79,79,http://api.albert.health/userSettings/save,2002,0,23
