timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1606252412623,1131,userSettings-save,200,,Thread Group 1-6,text,true,,1002,1513,34,34,http://api.albert.health/userSettings/save,1128,0,28
1606252412586,1168,userSettings-save,200,,Thread Group 1-2,text,true,,1002,1513,34,34,http://api.albert.health/userSettings/save,1165,0,65
1606252412586,1173,userSettings-save,200,,Thread Group 1-1,text,true,,1002,1513,34,34,http://api.albert.health/userSettings/save,1173,0,65
1606252412586,1224,userSettings-save,200,,Thread Group 1-3,text,true,,1002,1513,35,35,http://api.albert.health/userSettings/save,1224,0,65
1606252412586,1226,userSettings-save,200,,Thread Group 1-4,text,true,,1002,1513,35,35,http://api.albert.health/userSettings/save,1226,0,66
1606252412699,1124,userSettings-save,200,,Thread Group 1-8,text,true,,1002,1513,36,36,http://api.albert.health/userSettings/save,1124,0,20
1606252412659,1174,userSettings-save,200,,Thread Group 1-7,text,true,,1002,1513,36,36,http://api.albert.health/userSettings/save,1174,0,18
1606252412586,1409,userSettings-save,200,,Thread Group 1-5,text,true,,1002,1513,40,40,http://api.albert.health/userSettings/save,1409,0,66
1606252412821,1346,userSettings-save,200,,Thread Group 1-11,text,true,,1002,1513,44,44,http://api.albert.health/userSettings/save,1346,0,20
1606252412901,1319,userSettings-save,200,,Thread Group 1-13,text,true,,1002,1513,46,46,http://api.albert.health/userSettings/save,1319,0,20
1606252412739,1541,userSettings-save,200,,Thread Group 1-9,text,true,,1002,1513,47,47,http://api.albert.health/userSettings/save,1541,0,20
1606252412780,1513,userSettings-save,200,,Thread Group 1-10,text,true,,1002,1513,47,47,http://api.albert.health/userSettings/save,1513,0,20
1606252412861,1612,userSettings-save,200,,Thread Group 1-12,text,true,,1002,1513,52,52,http://api.albert.health/userSettings/save,1612,0,21
1606252413100,1380,userSettings-save,200,,Thread Group 1-18,text,true,,1002,1513,52,52,http://api.albert.health/userSettings/save,1380,0,23
1606252412941,1607,userSettings-save,200,,Thread Group 1-14,text,true,,1002,1513,54,54,http://api.albert.health/userSettings/save,1607,0,19
1606252413757,794,profile-loadConnectedProfiles,200,,Thread Group 1-2,text,true,,1663,1117,54,54,http://api.albert.health/profile/loadConnectedProfiles,793,0,0
1606252413180,1430,userSettings-save,200,,Thread Group 1-20,text,true,,1002,1513,55,55,http://api.albert.health/userSettings/save,1430,0,20
1606252413759,852,profile-loadConnectedProfiles,200,,Thread Group 1-1,text,true,,1663,1117,55,55,http://api.albert.health/profile/loadConnectedProfiles,852,0,0
1606252413141,1470,userSettings-save,200,,Thread Group 1-19,text,true,,1002,1513,55,55,http://api.albert.health/userSettings/save,1470,0,21
1606252413020,1604,userSettings-save,200,,Thread Group 1-16,text,true,,1002,1513,56,56,http://api.albert.health/userSettings/save,1604,0,20
1606252412981,1650,userSettings-save,200,,Thread Group 1-15,text,true,,1002,1513,56,56,http://api.albert.health/userSettings/save,1650,0,19
1606252413812,830,profile-loadConnectedProfiles,200,,Thread Group 1-4,text,true,,1663,1117,56,56,http://api.albert.health/profile/loadConnectedProfiles,830,0,0
1606252413834,826,profile-loadConnectedProfiles,200,,Thread Group 1-7,text,true,,1663,1117,57,57,http://api.albert.health/profile/loadConnectedProfiles,826,0,0
1606252413758,902,profile-loadConnectedProfiles,200,,Thread Group 1-6,text,true,,1663,1117,57,57,http://api.albert.health/profile/loadConnectedProfiles,902,0,0
1606252413811,891,profile-loadConnectedProfiles,200,,Thread Group 1-3,text,true,,1663,1117,58,58,http://api.albert.health/profile/loadConnectedProfiles,891,0,0
1606252413059,1649,userSettings-save,200,,Thread Group 1-17,text,true,,1002,1513,58,58,http://api.albert.health/userSettings/save,1649,0,20
1606252413824,933,profile-loadConnectedProfiles,200,,Thread Group 1-8,text,true,,1663,1117,59,59,http://api.albert.health/profile/loadConnectedProfiles,933,0,0
1606252413261,1938,userSettings-save,200,,Thread Group 1-22,text,true,,1002,1513,70,70,http://api.albert.health/userSettings/save,1938,0,23
1606252413341,1883,userSettings-save,200,,Thread Group 1-24,text,true,,1002,1513,71,71,http://api.albert.health/userSettings/save,1883,0,24
1606252413300,1950,userSettings-save,200,,Thread Group 1-23,text,true,,1002,1513,71,71,http://api.albert.health/userSettings/save,1950,0,21
