timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1606251923320,1323,userSettings-save,200,,Thread Group 1-2,text,true,,1002,1513,23,23,http://api.albert.health/userSettings/save,1321,0,265
1606251923560,1087,userSettings-save,200,,Thread Group 1-7,text,true,,1002,1513,23,23,http://api.albert.health/userSettings/save,1087,0,27
1606251923427,1257,userSettings-save,200,,Thread Group 1-5,text,true,,1002,1513,23,23,http://api.albert.health/userSettings/save,1257,0,160
1606251923627,1101,userSettings-save,200,,Thread Group 1-8,text,true,,1002,1513,24,24,http://api.albert.health/userSettings/save,1101,0,20
1606251923320,1420,userSettings-save,200,,Thread Group 1-1,text,true,,1002,1513,24,24,http://api.albert.health/userSettings/save,1420,0,265
1606251924646,103,profile-loadConnectedProfiles,200,,Thread Group 1-2,text,true,,1663,1117,24,24,http://api.albert.health/profile/loadConnectedProfiles,103,0,0
1606251923495,1272,userSettings-save,200,,Thread Group 1-6,text,true,,1002,1513,25,25,http://api.albert.health/userSettings/save,1272,0,92
1606251923321,1456,userSettings-save,200,,Thread Group 1-3,text,true,,1002,1513,25,25,http://api.albert.health/userSettings/save,1455,0,264
1606251924648,138,profile-loadConnectedProfiles,200,,Thread Group 1-7,text,true,,1663,1117,25,25,http://api.albert.health/profile/loadConnectedProfiles,138,0,0
1606251923359,1467,userSettings-save,200,,Thread Group 1-4,text,true,,1002,1513,25,25,http://api.albert.health/userSettings/save,1466,0,227
1606251924684,144,profile-loadConnectedProfiles,200,,Thread Group 1-5,text,true,,1663,1117,25,25,http://api.albert.health/profile/loadConnectedProfiles,144,0,0
1606251924728,105,profile-loadConnectedProfiles,200,,Thread Group 1-8,text,true,,1663,1117,26,26,http://api.albert.health/profile/loadConnectedProfiles,105,0,0
1606251923692,1172,userSettings-save,200,,Thread Group 1-9,text,true,,1002,1513,26,26,http://api.albert.health/userSettings/save,1172,0,19
1606251924777,115,profile-loadConnectedProfiles,200,,Thread Group 1-3,text,true,,1663,1117,26,26,http://api.albert.health/profile/loadConnectedProfiles,115,0,0
1606251924742,153,profile-loadConnectedProfiles,200,,Thread Group 1-1,text,true,,1663,1117,26,26,http://api.albert.health/profile/loadConnectedProfiles,153,0,0
1606251924768,168,profile-loadConnectedProfiles,200,,Thread Group 1-6,text,true,,1663,1117,27,27,http://api.albert.health/profile/loadConnectedProfiles,168,0,0
1606251924827,165,profile-loadConnectedProfiles,200,,Thread Group 1-4,text,true,,1663,1117,28,28,http://api.albert.health/profile/loadConnectedProfiles,164,0,0
1606251923759,1293,userSettings-save,200,,Thread Group 1-10,text,true,,1002,1513,29,29,http://api.albert.health/userSettings/save,1293,0,19
1606251923827,1303,userSettings-save,200,,Thread Group 1-11,text,true,,1002,1513,30,30,http://api.albert.health/userSettings/save,1303,0,20
1606251924750,410,user-loadUser,200,,Thread Group 1-2,text,true,,2517,1101,30,30,http://api.albert.health/user/loadUser,409,0,0
1606251924787,402,user-loadUser,200,,Thread Group 1-7,text,true,,2517,1101,31,31,http://api.albert.health/user/loadUser,401,0,0
1606251924865,341,profile-loadConnectedProfiles,200,,Thread Group 1-9,text,true,,1663,1117,31,31,http://api.albert.health/profile/loadConnectedProfiles,341,0,0
1606251924829,414,user-loadUser,200,,Thread Group 1-5,text,true,,2517,1101,32,32,http://api.albert.health/user/loadUser,414,0,0
1606251923894,1440,userSettings-save,200,,Thread Group 1-12,text,true,,1002,1513,33,33,http://api.albert.health/userSettings/save,1440,0,28
1606251924834,512,user-loadUser,200,,Thread Group 1-8,text,true,,2517,1101,33,33,http://api.albert.health/user/loadUser,512,0,0
1606251923960,1517,userSettings-save,200,,Thread Group 1-13,text,true,,1002,1513,35,35,http://api.albert.health/userSettings/save,1516,0,21
