timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1606253824905,1576,userSettings-save,200,,Thread Group 1-2,text,true,,1002,1513,65,65,http://api.albert.health/userSettings/save,1573,0,64
1606253824981,1501,userSettings-save,200,,Thread Group 1-10,text,true,,1002,1513,65,65,http://api.albert.health/userSettings/save,1501,0,17
1606253824928,1620,userSettings-save,200,,Thread Group 1-8,text,true,,1002,1513,68,68,http://api.albert.health/userSettings/save,1620,0,44
1606253824906,1672,userSettings-save,200,,Thread Group 1-3,text,true,,1002,1513,69,69,http://api.albert.health/userSettings/save,1672,0,64
1606253824906,1686,userSettings-save,200,,Thread Group 1-7,text,true,,1002,1513,69,69,http://api.albert.health/userSettings/save,1685,0,64
1606253825007,1592,userSettings-save,200,,Thread Group 1-11,text,true,,1002,1513,70,70,http://api.albert.health/userSettings/save,1592,0,18
1606253824954,1670,userSettings-save,200,,Thread Group 1-9,text,true,,1002,1513,70,70,http://api.albert.health/userSettings/save,1670,0,20
1606253824907,1718,userSettings-save,200,,Thread Group 1-5,text,true,,1002,1513,70,70,http://api.albert.health/userSettings/save,1718,0,65
1606253825089,1537,userSettings-save,200,,Thread Group 1-14,text,true,,1002,1513,71,71,http://api.albert.health/userSettings/save,1537,0,18
1606253824906,1732,userSettings-save,200,,Thread Group 1-6,text,true,,1002,1513,71,71,http://api.albert.health/userSettings/save,1732,0,66
1606253824906,1738,userSettings-save,200,,Thread Group 1-4,text,true,,1002,1513,71,71,http://api.albert.health/userSettings/save,1738,0,65
1606253825169,1549,userSettings-save,200,,Thread Group 1-17,text,true,,1002,1513,74,74,http://api.albert.health/userSettings/save,1549,0,19
1606253825035,1689,userSettings-save,200,,Thread Group 1-12,text,true,,1002,1513,74,74,http://api.albert.health/userSettings/save,1689,0,19
1606253824906,1827,userSettings-save,200,,Thread Group 1-1,text,true,,1002,1513,75,75,http://api.albert.health/userSettings/save,1827,0,63
1606253825061,1679,userSettings-save,200,,Thread Group 1-13,text,true,,1002,1513,75,75,http://api.albert.health/userSettings/save,1679,0,17
1606253825115,1703,userSettings-save,200,,Thread Group 1-15,text,true,,1002,1513,78,78,http://api.albert.health/userSettings/save,1703,0,19
1606253825252,1573,userSettings-save,200,,Thread Group 1-20,text,true,,1002,1513,78,78,http://api.albert.health/userSettings/save,1573,0,20
1606253825197,1675,userSettings-save,200,,Thread Group 1-18,text,true,,1002,1513,80,80,http://api.albert.health/userSettings/save,1675,0,20
1606253825142,1807,userSettings-save,200,,Thread Group 1-16,text,true,,1002,1513,82,82,http://api.albert.health/userSettings/save,1806,0,18
1606253825224,1771,userSettings-save,200,,Thread Group 1-19,text,true,,1002,1513,84,84,http://api.albert.health/userSettings/save,1770,0,22
1606253825494,2551,userSettings-save,200,,Thread Group 1-29,text,true,,1002,1513,123,123,http://api.albert.health/userSettings/save,2551,0,25
1606253825522,2531,userSettings-save,200,,Thread Group 1-30,text,true,,1002,1513,123,123,http://api.albert.health/userSettings/save,2531,0,21
1606253825575,2479,userSettings-save,200,,Thread Group 1-32,text,true,,1002,1513,123,123,http://api.albert.health/userSettings/save,2479,0,20
1606253825439,2634,userSettings-save,200,,Thread Group 1-27,text,true,,1002,1513,124,124,http://api.albert.health/userSettings/save,2633,0,20
1606253825601,2549,userSettings-save,200,,Thread Group 1-33,text,true,,1002,1513,127,127,http://api.albert.health/userSettings/save,2549,0,20
1606253825655,2506,userSettings-save,200,,Thread Group 1-35,text,true,,1002,1513,127,127,http://api.albert.health/userSettings/save,2506,0,20
1606253825628,2545,userSettings-save,200,,Thread Group 1-34,text,true,,1002,1513,128,128,http://api.albert.health/userSettings/save,2545,0,19
1606253825710,2549,userSettings-save,200,,Thread Group 1-37,text,true,,1002,1513,131,131,http://api.albert.health/userSettings/save,2549,0,19
1606253825358,2935,userSettings-save,200,,Thread Group 1-24,text,true,,1002,1513,132,132,http://api.albert.health/userSettings/save,2935,0,22
1606253825306,3023,userSettings-save,200,,Thread Group 1-22,text,true,,1002,1513,134,134,http://api.albert.health/userSettings/save,3023,0,20
1606253825736,2614,userSettings-save,200,,Thread Group 1-38,text,true,,1002,1513,134,134,http://api.albert.health/userSettings/save,2614,0,19
1606253825278,3112,userSettings-save,200,,Thread Group 1-21,text,true,,1002,1513,136,136,http://api.albert.health/userSettings/save,3112,0,20
1606253825412,2984,userSettings-save,200,,Thread Group 1-26,text,true,,1002,1513,136,136,http://api.albert.health/userSettings/save,2984,0,20
1606253825385,3016,userSettings-save,200,,Thread Group 1-25,text,true,,1002,1513,136,136,http://api.albert.health/userSettings/save,3016,0,18
1606253825331,3120,userSettings-save,200,,Thread Group 1-23,text,true,,1002,1513,138,138,http://api.albert.health/userSettings/save,3120,0,25
1606253825549,2970,userSettings-save,200,,Thread Group 1-31,text,true,,1002,1513,141,141,http://api.albert.health/userSettings/save,2970,0,20
1606253825465,3077,userSettings-save,200,,Thread Group 1-28,text,true,,1002,1513,141,141,http://api.albert.health/userSettings/save,3077,0,18
